Comment,Designator,Footprint,LCSC Part #,Quantity
SMF24A-T13,"D1,D2",D_SOD-123F,C1977154,2
0.2mR,RS1,R_2512_6332Metric,C695806,1
4.7u_50V,"C1,C2,C3,C4,C5,C44",C_0805_2012Metric,C98192,6
100n,"C6,C7,C8,C11,C12,C15,C17,C18,C20,C21,C22,C24,C25,C26,C27,C28,C29,C32,C34,C37,C38,C39,C40,C41,C42,CRST1,CRST2,CRST3,CRST4,CVCC1,CVCC2,CVCC3,CVCC4,CVDA1,CVDA2,CVDA3,CVDA4,CVDD1,CVDD2,CVDD3,CVDD4",C_0201_0603Metric,C181043,41
INA186A3IDCKR,U1,SOT-363_SC-70-6,C2058245,1
1k,"R1,R15,RNA1,RNA2,RNA3,RNA4,RNB1,RNB2,RNB3,RNB4,RNC1,RNC2,RNC3,RNC4",R_0201_0603Metric,C270365,14
LMR51430YFDDCR,"U2,U3",SOT-23-6,C5219261,2
4.7uH,"L1,L2",L_3.0x3.0mm,C39846837,2
100k,"R2,R4,R12,R17",R_0201_0603Metric,C270364,4
6.49k,R3,R_0201_0603Metric,C2107920,1
22u_25V,"C9,C10,C13,C14,C16",C_0805_2012Metric,C45783,5
13.7k,R5,R_0201_0603Metric,C320695,1
RB161QS-40,"D3,D4",D_SOD-882,C28646385,2
LP5912-3.3DRVR,U4,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C524780,1
4.7u,"C19,C23,C30,C31,C43",C_0201_0603Metric,C23733,5
TLV76733DRVR,U5,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C2848334,1
GREEN,"D5,D6,D7,D8",LED_0402_1005Metric,C965793,4
2.4k,"R6,R7,R20,R21",R_0201_0603Metric,C166281,4
STM32F722RET6,U6,LQFP-64_10x10mm_P0.5mm,C118207,1
10k,"R8,R13,R14,R19,R22,RBA1,RBA2,RBA3,RBA4,RBB1,RBB2,RBB3,RBB4,RBC1,RBC2,RBC3,RBC4,RBT01,RBT02,RBT03,RBT04,RCA1,RCA2,RCA3,RCA4,RCB1,RCB2,RCB3,RCB4,RCC1,RCC2,RCC3,RCC4,RRST1,RRST2,RRST3,RRST4",R_0201_0603Metric,C106225,37
10R,"R9,RVDA1,RVDA2,RVDA3,RVDA4",R_0201_0603Metric,C106226,5
1u,C33,C_0201_0603Metric,C52923,1
8MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C2682774,1
20p,"C35,C36",C_0201_0603Metric,C1554,2
510R,"R10,R11",R_0201_0603Metric,C57784,2
2N7002,Q1,SOT-23,C8545,1
220R,"R16,R18,RSIG1,RSIG2,RSIG3,RSIG4",R_0201_0603Metric,C226468,6
ICM-42688-P,U7,LGA-14_2.5x3mm_P0.5mm_ICM42688,C1850418,1
BMP280,U8,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,C83291,1
W25Q128JVSIQ,U9,SOIC-8_5.23x5.23mm_P1.27mm,C97521,1
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
5.1k,"R23,R24",R_0402_1005Metric,C25905,2
USBLC6-2SC6,U10,SOT-23-6,C7519,1
SM06B-SRSS-TB,J2,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,C160405,1
AT32F421G8U7,"U20,U30,U40,U50",QFN-28-1EP_4x4mm_P0.4mm_EP2.4x2.4mm,C2765098,4
NSG2065Q,"U21,U31,U41,U51",QFN-24-1EP_4x4mm_P0.5mm_EP2.8x2.8mm,C41414478,4
DOY180N03T,"QAH1,QAH2,QAH3,QAH4,QAL1,QAL2,QAL3,QAL4,QBH1,QBH2,QBH3,QBH4,QBL1,QBL2,QBL3,QBL4,QCH1,QCH2,QCH3,QCH4,QCL1,QCL2,QCL3,QCL4",Diodes_PowerDI3333-8,C49441966,24
15R,"RGAH1,RGAH2,RGAH3,RGAH4,RGAL1,RGAL2,RGAL3,RGAL4,RGBH1,RGBH2,RGBH3,RGBH4,RGBL1,RGBL2,RGBL3,RGBL4,RGCH1,RGCH2,RGCH3,RGCH4,RGCL1,RGCL2,RGCL3,RGCL4",R_0201_0603Metric,C473542,24
100n,"CBSA1,CBSA2,CBSA3,CBSA4,CBSB1,CBSB2,CBSB3,CBSB4,CBSC1,CBSC2,CBSC3,CBSC4",C_0402_1005Metric,C1525,12
