Designator,Mid X,Mid Y,Layer,Rotation
C8,166.1610,-102.7320,bottom,90.0
C9,160.9020,-109.4970,bottom,0.0
C10,166.3000,-100.0000,bottom,90.0
C11,159.0980,-93.6130,bottom,0.0
C12,160.5950,-93.2230,bottom,90.0
C13,160.2990,-91.2700,bottom,0.0
C14,163.1730,-91.8420,bottom,90.0
C15,159.6000,-89.6010,bottom,0.0
C16,154.0880,-85.0900,bottom,0.0
C17,164.8860,-92.7290,bottom,90.0
C18,166.1100,-97.3970,bottom,0.0
C23,154.3680,-110.5730,bottom,0.0
C24,156.3270,-109.1760,bottom,90.0
C25,149.1960,-91.8390,bottom,0.0
C26,144.4200,-91.9440,bottom,0.0
C27,141.5190,-105.6670,bottom,0.0
C28,139.0290,-100.8030,bottom,90.0
C29,139.0660,-98.7970,bottom,90.0
C30,140.4540,-106.9360,bottom,0.0
C31,158.0030,-109.2080,bottom,0.0
C32,139.1040,-103.3510,bottom,90.0
C33,156.5880,-110.7410,bottom,0.0
C34,139.6020,-105.5790,bottom,0.0
C38,145.3350,-113.7810,bottom,0.0
C39,156.2690,-112.5150,bottom,90.0
C40,139.8890,-87.7710,bottom,90.0
C41,156.3850,-115.3040,bottom,90.0
C42,144.5290,-82.9150,bottom,0.0
C43,139.8990,-85.6550,bottom,90.0
CRST1,164.3520,-106.9350,bottom,90.0
CRST2,156.9440,-85.4310,bottom,0.0
CRST3,141.0210,-109.3950,bottom,90.0
CRST4,135.6380,-95.6940,bottom,90.0
CVDA1,163.7670,-109.2220,bottom,0.0
CVDA2,151.5310,-85.2040,bottom,90.0
CVDA3,143.5270,-113.9460,bottom,0.0
CVDA4,134.3350,-95.5020,bottom,90.0
CVDD1,166.1860,-104.6000,bottom,90.0
CVDD2,153.9010,-83.4980,bottom,0.0
CVDD3,139.8970,-108.7980,bottom,90.0
CVDD4,135.5340,-90.1640,bottom,90.0
D3,165.6150,-85.4750,bottom,0.0
D4,151.9700,-83.2920,bottom,0.0
J1,145.8200,-88.5700,bottom,180.0
J2,135.3000,-101.4000,bottom,90.0
L1,163.6000,-100.0000,bottom,90.0
L2,163.6000,-95.8000,bottom,90.0
R2,158.3980,-110.7440,bottom,90.0
R3,164.8840,-90.4070,bottom,90.0
R4,164.0440,-110.3050,bottom,0.0
R5,160.0020,-111.1920,bottom,0.0
R8,153.7550,-111.8180,bottom,0.0
R9,138.8170,-108.4230,bottom,90.0
R19,145.3130,-114.8650,bottom,0.0
R20,148.0990,-82.8940,bottom,0.0
R21,149.8570,-82.9110,bottom,0.0
R22,156.6680,-116.8680,bottom,0.0
R23,134.2460,-85.4000,bottom,0.0
R24,137.8440,-106.9110,bottom,0.0
RBA1,158.8550,-114.7820,bottom,0.0
RBA2,160.3770,-115.0090,bottom,90.0
RBA3,136.2280,-109.6830,bottom,90.0
RBA4,135.1300,-109.3930,bottom,90.0
RBB1,162.4580,-115.3010,bottom,0.0
RBB2,158.7340,-115.9520,bottom,0.0
RBB3,139.4740,-115.0750,bottom,0.0
RBB4,134.3910,-114.4820,bottom,0.0
RBC1,165.6050,-114.5330,bottom,0.0
RBC2,160.5440,-116.5630,bottom,0.0
RBC3,139.9210,-116.6150,bottom,90.0
RBC4,133.7520,-115.5880,bottom,0.0
RBT01,159.6000,-112.3570,bottom,0.0
RBT02,142.7280,-82.8620,bottom,0.0
RBT03,139.4330,-110.4050,bottom,0.0
RBT04,133.0770,-95.3030,bottom,90.0
RCA1,158.4240,-117.0990,bottom,0.0
RCA2,165.2390,-115.9020,bottom,90.0
RCA4,138.7770,-116.5330,bottom,90.0
RCB1,162.4020,-116.3660,bottom,0.0
RCB2,166.4770,-115.9320,bottom,90.0
RCC1,163.9680,-115.5110,bottom,90.0
RCC2,134.3940,-116.7760,bottom,0.0
RRST1,157.8370,-112.3670,bottom,0.0
RRST2,140.0520,-83.3540,bottom,90.0
RRST3,137.6110,-110.2010,bottom,0.0
RRST4,135.6590,-106.6880,bottom,0.0
RVDA1,159.9000,-113.5850,bottom,0.0
RVDA2,157.7950,-113.6380,bottom,0.0
RVDA3,137.6970,-108.6030,bottom,90.0
RVDA4,135.5560,-107.9120,bottom,0.0
U2,159.5000,-100.0000,bottom,180.0
U3,159.5000,-95.8000,bottom,180.0
U5,154.3680,-108.7730,bottom,0.0
U6,150.0000,-100.0000,bottom,0.0
U7,150.0000,-109.4000,bottom,0.0
U8,146.8000,-91.8000,bottom,0.0
U9,151.0000,-114.9000,bottom,0.0
U10,138.5000,-90.3000,bottom,180.0
U20,160.4000,-105.0000,bottom,90.0
U30,155.0000,-89.6000,bottom,0.0
U40,145.0000,-109.8000,bottom,180.0
U50,139.6000,-94.3000,bottom,270.0
C1,160.6220,-98.5930,top,90.0
C2,162.6870,-98.8160,top,90.0
C3,160.6280,-95.3900,top,0.0
C4,165.7570,-99.4180,top,0.0
C5,165.8970,-97.3150,top,0.0
C6,161.6550,-110.0030,top,0.0
C7,163.4930,-109.9970,top,0.0
C19,151.0030,-109.5470,top,90.0
C20,158.9910,-99.5990,top,90.0
C21,141.0200,-100.6010,top,90.0
C22,139.9260,-101.5960,top,90.0
C35,139.5590,-105.4520,top,0.0
C36,137.3620,-105.1000,top,0.0
C37,134.4070,-102.1310,top,0.0
C44,139.6030,-108.8780,top,90.0
CBSA1,155.5000,-107.7800,top,90.0
CBSA2,157.7800,-94.5000,top,0.0
CBSA3,142.2200,-105.5000,top,180.0
CBSA4,144.5000,-92.2200,top,270.0
CBSB1,155.5000,-105.0000,top,90.0
CBSB2,155.0000,-94.5000,top,0.0
CBSB3,145.0000,-105.5000,top,180.0
CBSB4,144.5000,-95.0000,top,270.0
CBSC1,155.5000,-102.2200,top,90.0
CBSC2,152.2200,-94.5000,top,0.0
CBSC3,147.7800,-105.5000,top,180.0
CBSC4,144.5000,-97.7800,top,270.0
CVCC1,152.5500,-109.0000,top,180.0
CVCC2,159.0000,-97.4500,top,90.0
CVCC3,141.0000,-102.5500,top,270.0
CVCC4,147.4500,-91.0000,top,0.0
D1,137.5920,-108.4800,top,90.0
D2,164.8300,-95.1840,top,0.0
D5,140.4400,-104.0950,top,0.0
D6,147.9100,-89.8120,top,0.0
D7,145.8970,-90.2260,top,90.0
D8,144.0850,-90.0220,top,0.0
Q1,164.8020,-92.6940,top,180.0
QAH1,158.0000,-107.7800,top,180.0
QAH2,157.7800,-92.0000,top,270.0
QAH3,142.2200,-108.0000,top,90.0
QAH4,142.0000,-92.2200,top,0.0
QAL1,162.7500,-107.7800,top,180.0
QAL2,157.7800,-87.2500,top,270.0
QAL3,142.2200,-112.7500,top,90.0
QAL4,137.2500,-92.2200,top,0.0
QBH1,158.0000,-105.0000,top,180.0
QBH2,155.0000,-92.0000,top,270.0
QBH3,145.0000,-108.0000,top,90.0
QBH4,142.0000,-95.0000,top,0.0
QBL1,162.7500,-105.0000,top,180.0
QBL2,155.0000,-87.2500,top,270.0
QBL3,145.0000,-112.7500,top,90.0
QBL4,137.2500,-95.0000,top,0.0
QCH1,158.0000,-102.2200,top,180.0
QCH2,152.2200,-92.0000,top,270.0
QCH3,147.7800,-108.0000,top,90.0
QCH4,142.0000,-97.7800,top,0.0
QCL1,162.7500,-102.2200,top,180.0
QCL2,152.2200,-87.2500,top,270.0
QCL3,147.7800,-112.7500,top,90.0
QCL4,137.2500,-97.7800,top,0.0
R1,150.5810,-114.8290,top,90.0
R6,133.9130,-107.0270,top,0.0
R7,147.6950,-88.6000,top,0.0
R10,144.0090,-88.8070,top,0.0
R11,140.1470,-89.7950,top,90.0
R12,134.0410,-100.3370,top,90.0
R13,132.9020,-101.0340,top,90.0
R14,141.5610,-87.8480,top,0.0
R15,137.8740,-90.1320,top,0.0
R16,160.2100,-93.6970,top,0.0
R17,162.1970,-92.7210,top,90.0
R18,160.2340,-92.5620,top,0.0
RCA3,140.1240,-111.8830,top,90.0
RCB3,140.1360,-114.0730,top,90.0
RCB4,135.7130,-105.8010,top,90.0
RCC3,141.9250,-115.8280,top,90.0
RCC4,135.2050,-103.6110,top,90.0
RGAH1,160.4000,-106.8050,top,90.0
RGAH2,156.8050,-89.6000,top,0.0
RGAH3,143.1950,-110.4000,top,180.0
RGAH4,139.6000,-93.1950,top,270.0
RGAL1,165.9000,-106.8050,top,180.0
RGAL2,156.8050,-84.1000,top,90.0
RGAL3,143.1950,-115.9000,top,270.0
RGAL4,134.1000,-93.1950,top,0.0
RGBH1,160.4000,-104.0250,top,90.0
RGBH2,154.0250,-89.6000,top,0.0
RGBH3,145.9750,-110.4000,top,180.0
RGBH4,139.6000,-95.9750,top,270.0
RGBL1,165.9000,-104.0250,top,180.0
RGBL2,154.0250,-84.1000,top,90.0
RGBL3,145.9750,-115.9000,top,270.0
RGBL4,134.1000,-95.9750,top,0.0
RGCH1,160.4000,-101.2450,top,90.0
RGCH2,151.2450,-89.6000,top,0.0
RGCH3,148.7550,-110.4000,top,180.0
RGCH4,139.6000,-98.7550,top,270.0
RGCL1,165.9000,-101.2450,top,180.0
RGCL2,151.2450,-84.1000,top,90.0
RGCL3,148.7550,-115.9000,top,270.0
RGCL4,134.1000,-98.7550,top,0.0
RNA1,165.9370,-116.4270,top,90.0
RNA2,165.8460,-105.3710,top,0.0
RNA3,136.0870,-109.3280,top,90.0
RNA4,135.7860,-107.2770,top,0.0
RNB1,166.0170,-107.9440,top,0.0
RNB2,165.9130,-102.8070,top,0.0
RNB3,144.3520,-115.9550,top,90.0
RNB4,134.5870,-105.4430,top,90.0
RNC1,150.5240,-116.6770,top,90.0
RNC2,147.5980,-115.8870,top,90.0
RNC3,134.0770,-116.5260,top,90.0
RNC4,134.1040,-103.6220,top,90.0
RS1,156.8000,-111.2000,top,0.0
RSIG1,160.0640,-91.1630,top,90.0
RSIG2,149.7960,-87.7010,top,0.0
RSIG3,135.0140,-108.9590,top,90.0
RSIG4,135.1270,-100.5870,top,90.0
U1,151.0000,-112.4000,top,180.0
U4,150.0000,-100.0000,top,0.0
U21,152.3000,-105.0000,top,90.0
U31,155.0000,-97.7000,top,180.0
U41,145.0000,-102.3000,top,0.0
U51,147.7000,-95.0000,top,270.0
Y1,137.5730,-102.3040,top,90.0
